iter	Passed	Remaining
0	0	68
1	1	75
2	2	83
3	3	78
4	4	81
5	5	82
6	6	82
7	7	87
8	9	91
9	9	89
10	11	89
11	11	85
12	12	83
13	13	81
14	14	80
15	14	78
16	15	76
17	16	74
18	17	72
19	17	71
20	18	69
21	19	68
22	19	66
23	20	65
24	21	63
25	21	62
26	22	61
27	23	61
28	24	60
29	25	58
30	25	57
31	26	56
32	26	54
33	27	53
34	28	52
35	28	50
36	29	49
37	29	48
38	30	47
39	30	46
40	31	44
41	31	43
42	31	42
43	32	41
44	32	40
45	33	39
46	33	38
47	34	37
48	35	36
49	35	35
50	36	34
51	36	33
52	37	33
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	11
81	51	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
